category,count,remark,,,,,,,,,,,,,,,,,,,,,,,
Restaurants,54618,,,,,,,,,,,,,,,,,,,,,,,,
Food,24777,,,,,,,,,,,,,,,,,,,,,,,,
Bars,10563,,,,,,,,,,,,,,,,,,,,,,,,
Sandwiches,6345,,,,,,,,,,,,,,,,,,,,,,,,
Fast Food,6280,,,,,,,,,,,,,,,,,,,,,,,,
American (Traditional),6097,,,,,,,,,,,,,,,,,,,,,,,,
Pizza,6067,,,,,,,,,,,,,,,,,,,,,,,,
Coffee & Tea,5936,,,,,,,,,,,,,,,,,,,,,,,,
Italian,4662,,,,,,,,,,,,,,,,,,,,,,,,
Burgers,4558,,,,,,,,,,,,,,,,,,,,,,,,
Breakfast & Brunch,4497,,,,,,,,,,,,,,,,,,,,,,,,
Mexican,4105,,,,,,,,,,,,,,,,,,,,,,,,
Chinese,3987,,,,,,,,,,,,,,,,,,,,,,,,
American (New),3979,,,,,,,,,,,,,,,,,,,,,,,,
Specialty Food,3966,,,,,,,,,,,,,,,,,,,,,,,,
Bakeries,3261,,,,,,,,,,,,,,,,,,,,,,,,
Cafes,3039,,,,,,,,,,,,,,,,,,,,,,,,
Desserts,2661,,,,,,,,,,,,,,,,,,,,,,,,
Massage,2351,,,,,,,,,,,,,,,,,,,,,,,,
Ice Cream & Frozen Yogurt,2326,,,,,,,,,,,,,,,,,,,,,,,,
Japanese,2304,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Wings,2257,,,,,,,,,,,,,,,,,,,,,,,,
Seafood,2154,,,,,,,,,,,,,,,,,,,,,,,,
Salad,2070,,,,,,,,,,,,,,,,,,,,,,,,
Sushi Bars,1943,,,,,,,,,,,,,,,,,,,,,,,,
Beer,1766,,,,,,,,,,,,,,,,,,,,,,,,
Delis,1668,___,,,,,,,,,,,,,,,,,,,,,,,
Asian Fusion,1658,,,,,,,,,,,,,,,,,,,,,,,,
Mediterranean,1593,,,,,,,,,,,,,,,,,,,,,,,,
Barbeque,1534,,,,,,,,,,,,,,,,,,,,,,,,
Canadian (New),1468,,,,,,,,,,,,,,,,,,,,,,,,
Steakhouses,1410,,,,,,,,,,,,,,,,,,,,,,,,
Lounges,1408,,,,,,,,,,,,,,,,,,,,,,,,
Indian,1368,,,,,,,,,,,,,,,,,,,,,,,,
