business_id,name,address,city,state,latitude,longitude,stars,review_count,food_type,restaurant_type,country_type,mon,tue,wed,thu,fri,sat,sun
PfOCPjBrlQAnz__NXj9h_w,Brick House Tavern + Tap,581 Howe Ave,Cuyahoga Falls,OH,41.1195346,-81.4756898,3.5,116,Sandwiches;Burgers;,Bars;,American (New);American (Traditional);,11:0-1:0,11:0-1:0,11:0-1:0,11:0-1:0,11:0-1:0,11:0-2:0,11:0-0:0
o9eMRCWt5PkpLDE0gOPtcQ,Messina,Richterstr. 11,Stuttgart,BW,48.7272,9.14795,4,5,,,Italian;,18:0-0:0,18:0-0:0,18:0-0:0,18:0-0:0,18:0-0:0,18:0-0:0,None
EsMcGiZaQuG1OOvL9iUFug,Any Given Sundae,2612 Brandt School Rd,Wexford,PA,40.61510224,-80.09134875,5,15,Coffee & Tea;Ice Cream & Frozen Yogurt;,Coffee & Tea;,,None,None,None,None,None,None,None
XOSRcvtaKc_Q5H1SAzN20A,East Coast Coffee,737 West Pike St,Houston,PA,40.24154801,-80.21281511,4.5,3,Gluten-Free;Coffee & Tea;Food;,Breakfast & Brunch;Coffee & Tea;Restaurants;,,None,None,None,None,None,None,None
xcgFnd-MwkZeO5G2HQ0gAQ,T & T Bakery and Cafe,35 Main Street N,Markham,ON,43.8751774,-79.2601532,4,38,Bakeries;Bagels;,Bakeries;,,None,None,None,None,None,None,None
fNMVV_ZX7CJSDWQGdOM8Nw,Showmars Government Center,600 E 4th St,Charlotte,NC,35.2216474,-80.8393449,3.5,7,,Restaurants;,,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,None,None
l09JfMeQ6ynYs5MCJtrcmQ,Alize Catering,2459 Yonge St,Toronto,ON,43.7113993,-79.3993388,3,12,,,Italian;French;,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0
Gu-xs3NIQTj3Mj2xYoN2aw,Maxim Bakery & Restaurant,"9665 Bayview Avenue, Unit 1-4",Richmond Hill,ON,43.8675648,-79.4126618,3.5,34,Food;Bakeries;,Bakeries;,French;,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-23:0,11:0-23:0,11:0-22:0
lHYiCS-y8AFjUitv6MGpxg,Starbucks,85 Hanna Avenue,Toronto,ON,43.63986331,-79.41953319,4,21,Food;,,,5:30-22:0,5:30-22:0,5:30-22:0,5:30-22:0,5:30-23:0,6:0-23:0,7:0-22:0
VSGcuYDV3q-AAZ9ZPq4fBQ,Sportster's,1430 Danforth Avenue,Toronto,ON,43.6828673,-79.3269639,2.5,7,,Bars;,,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0
1K4qrnfyzKzGgJPBEcJaNQ,Chula Taberna Mexicana,1058 Gerrard Street E,Toronto,ON,43.6692562,-79.3359022,3.5,39,,Restaurants;,Mexican;,11:30-2:0,11:30-2:0,11:30-2:0,11:30-2:0,11:30-2:0,10:30-2:0,10:30-2:0
AtdXq_gu9NTE5rx4ct_dGg,DAVIDsTEA,10 Dundas Street E,Toronto,ON,43.6567287,-79.3807182,4,6,Coffee & Tea;Food;,Coffee & Tea;,,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,9:30-18:0,11:0-18:0
Dj0S-Oe4ytRJzMGUPgYUkw,Panera Bread,38295 Chestnut Ridge Rd,Elyria,OH,41.343078,-82.06714,2,4,Soup;Salad;Sandwiches;,,,6:30-21:0,6:30-21:0,6:30-21:0,6:30-21:0,6:30-22:0,7:0-22:0,7:0-20:0
gAy4LYpsScrj8POnCW6btQ,Toast Cafe,2429 Hwy 160 W,Fort Mill,SC,35.0472868,-80.9905588,3.5,6,Food;Coffee & Tea;,Coffee & Tea;,American (Traditional);,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0
nbhBRhZtdaZmMMeb2i02pg,Sunnyside Grill,2777 Steeles Avenue W,Toronto,ON,43.7818155,-79.4904331,5,3,,Restaurants;,,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0
1_3nOM7s9WqnJWTNu2-i8Q,Le Bistro Balmoral,305 Rue Sainte-Catherine O,Montreal,QC,45.50677221,-73.56672497,3,8,,Restaurants;,French;,11:30-14:0,17:0-21:30,17:0-21:30,17:0-21:30,17:0-21:30,16:30-21:30,None
FXHfcFVEfI1vVngW2gVOpw,Bampot House of Tea & Board Games,201 Harbord Street,Toronto,ON,43.66158168,-79.40887846,4,55,Coffee & Tea;Food;,Coffee & Tea;Restaurants;,Mediterranean;,17:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,12:0-1:30,12:0-1:30,12:0-23:0
tRVx2c89coruPRwYhGTcTw,Yuzu,13603 Madison Ave,Lakewood,OH,41.4768463,-81.7869709,3.5,78,Comfort Food;,Izakaya;Cocktail Bars;Bars;Restaurants;Gastropubs;,Asian Fusion;Japanese;,12:0-2:0,12:0-2:0,12:0-2:0,12:0-2:0,12:0-2:0,11:0-2:0,None
zjySmTfL9WiMDVgp8-Jp3w,TCBY,"610 Jetton St, Ste 130",Davidson,NC,35.5012273,-80.8609494,3.5,3,Desserts;Ice Cream & Frozen Yogurt;,,,None,None,None,None,None,None,None
BnuzcebyB1AfxH0kjNWqSg,Carrabba's Italian Grill,245 Lancaster Ave,Frazer,PA,40.04100253,-75.54249651,3.5,25,,Restaurants;,Italian;,16:0-22:0,16:0-22:0,16:0-22:0,16:0-22:0,11:0-23:0,11:0-23:0,11:0-21:0
rDMptJYWtnMhpQu_rRXHng,McDonald's,719 E Thunderbird Rd,Phoenix,AZ,33.6070702,-112.0643825,1,10,Fast Food;Burgers;,Fast Food;,,None,None,None,None,None,None,None
1WBkAuQg81kokZIPMpn9Zg,Charr An American Burger Bar,"777 E Thunderbird Rd, Ste 107",Phoenix,AZ,33.60731,-112.063404,3,232,Burgers;,,,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,11:0-21:0
#NAME?,Restaurant Lucca,12 Rue Dante,Montréal,QC,45.5328965,-73.6136037,4.5,11,,,Italian;,None,None,None,None,None,None,None
Pd52CjgyEU3Rb8co6QfTPw,Flight Deck Bar & Grill,6730 S Las Vegas Blvd,Las Vegas,NV,36.0669136,-115.1708484,4,13,Barbeque;,Bars;Barbeque;,American (New);,8:30-22:30,8:30-22:30,8:30-22:30,8:30-22:30,8:30-22:30,8:30-22:30,8:30-22:30
4srfPk1s8nlm1YusyDUbjg,Subway,"6889 S Eastern Ave, Ste 101",Las Vegas,NV,36.0646523,-115.1189541,2.5,6,Fast Food;,Fast Food;Restaurants;,,None,None,None,None,None,None,None
n7V4cD-KqqE3OXk0irJTyA,GameWorks,"6587 Las Vegas Blvd S, Ste 171",Las Vegas,NV,36.06825852,-115.1788768,3,349,,Gastropubs;Restaurants;,,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-1:0,11:0-1:0,11:0-0:0
c_XbaJqhm-5ycSBOkVUBmg,Don Taco,"1855 Rue Saint Catherine Ouest, H3H 1M2",Montreal,QC,45.4932164,-73.5803794,3.5,33,,Restaurants;,,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-21:0
spDZkD6cp0JUUm6ghIWHzA,Kitchen M,8515 McCowan Road,Markham,ON,43.867918,-79.2836865,3,80,,Restaurants;,,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0
MmR06_kNAbmOPK-0pKvGtA,Cinnabon,4300 Meadows Ln,Las Vegas,NV,36.1725319,-115.197258,4,3,Food;Coffee & Tea;,Coffee & Tea;,,None,None,None,None,None,None,None
EJFdWX908N8Yc2XG0Lky8A,River Moon Cafe,104 43rd St,Pittsburgh,PA,40.472735,-79.9632647,4,5,,Cafes;,,None,17:0-21:30,17:0-21:30,17:0-21:30,17:0-21:30,17:0-21:30,None
F31RycVVooeIOp9jsXmg6g,The Bluebird Cafe,5 Canonmills,Edinburgh,MLN,55.9624442,-3.1976623,4.5,16,,Breakfast & Brunch;Diners;Restaurants;Cafes;,,6:0-16:0,6:0-16:0,6:0-16:0,6:0-16:0,6:0-16:0,8:0-17:0,8:0-17:0
0lCpaZpmjCFEmtti9O9ZdQ,LaPuma Bakery,12656 Chillicothe Rd,Chesterland,OH,41.5242686,-81.3379626,3.5,3,Bakeries;,Bakeries;,,None,None,None,None,None,None,None
iPa__LOhse-hobC2Xmp-Kw,McDonald's,1635 E Camelback Rd,Phoenix,AZ,33.5087649,-112.04624,3,34,Burgers;,Restaurants;,,5:0-23:0,5:0-23:0,5:0-23:0,5:0-23:0,5:0-23:0,5:0-23:0,5:0-23:0
o1fTwfqN0sDFNpV1CkOPPg,Crazy Mocha Coffee,4032 Butler St,Pittsburgh,PA,40.4692949,-79.9612733,3.5,16,Sandwiches;Coffee & Tea;,Restaurants;Coffee & Tea;,,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,8:0-21:0,9:0-21:0
#NAME?,Bruegger's Bagels,5217 Clairton Blvd,Pittsburgh,PA,40.3441937,-79.970963,2.5,5,Bagels;Bakeries;Sandwiches;,Breakfast & Brunch;Restaurants;Bakeries;,,5:30-17:0,5:30-17:0,5:30-17:0,5:30-17:0,5:30-17:0,6:0-16:0,6:0-16:0
kKx8iCJkomVQBdWHnmmOiA,Little Caesars Pizza,10720 E Southern Ave,Mesa,AZ,33.3948766,-111.6001938,2.5,4,,Restaurants;,,None,None,None,None,None,None,None
B5EZlEDH6AVDk8tQGHAGqg,Villa Tap,2302 Packers Ave,Madison,WI,43.1233893,-89.3553901,4,34,,Restaurants;,American (Traditional);,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:30,10:0-2:30,10:0-17:0
NoxzrJbWS4xD9ft0ygD3JA,The Brink Lounge,"701 E Washington Ave, Ste 105",Madison,WI,43.0798171,-89.3762962,3.5,30,,Lounges;,,None,16:0-14:30,16:0-14:30,16:0-14:30,16:0-14:30,16:0-14:30,None
VXH7zXcZzXlmAVN8GSjGRQ,Thai Express,4700 Keele Street,Toronto,ON,43.77487768,-79.49461873,3,5,Specialty Food;Ethnic Food;Food;,Ethnic Food;,Thai;,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,11:0-22:0,11:0-22:0
YhV93k9uiMdr3FlV4FHjwA,Caviness Studio,,Phoenix,AZ,33.4499672,-112.0702225,5,4,Pizza;,Restaurants;,,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,9:0-15:0,None
aFBCmJUYrPeol_P75QX7Jw,Fraticelli's Authentic Italian Grill,10 Vogell Road,Richmond Hill,ON,43.86433338,-79.38241086,3,88,,Restaurants;,,11:30-23:0,11:30-23:0,11:30-23:0,11:30-23:0,11:30-0:0,16:0-0:0,16:0-23:0
F0fEKpTk7gAmuSFI0KW1eQ,Cafe Mastrioni,"4250 S Rainbow Blvd, Ste 1007",Las Vegas,NV,36.1110572,-115.2416881,1.5,3,,,Italian;,None,None,None,None,None,None,None
YvxQOMstU2MVDr2uNHs_vw,Mitchell's Ice Cream - Solon Shop,6130 Kruse Dr,Solon,OH,41.392049,-81.4426351,4.5,42,Ice Cream & Frozen Yogurt;,,,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0
dTWfATVrBfKj7Vdn0qWVWg,Flavor Cuisine,8 Glen Watford Drive,Toronto,ON,43.7870613,-79.2761657,3,6,,Restaurants;,Chinese;,11:0-21:0,None,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0
HAX1zec191t7QkT2sBZ76A,La Isla Cuban Restaurant,"1816 Galerea Blvd, Ste D",Charlotte,NC,35.137223,-80.734594,3,4,,Restaurants;,,None,None,None,None,None,None,None
VdlPZg2NAu8t8GkdbPLecg,Tandoori Times Indian Bistro,"8140 N Hayden Rd, Ste H115",Scottsdale,AZ,33.55521186,-111.9004563,3.5,263,Gluten-Free;,Restaurants;,Indian;,None,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0
c7X2SdKxVJMaOnFROO8WEg,Finga Lickin' Caribbean Eatery,2838 The Plz,Charlotte,NC,35.236823,-80.801084,4.5,21,Pizza;Food;,Restaurants;,,11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:0,None
