business_id,name,address,city,state,latitude,longitude,stars,review_count,food_type,restaurant_type,country_type,mon,tue,wed,thu,fri,sat,sun
PfOCPjBrlQAnz__NXj9h_w,Brick House Tavern + Tap,581 Howe Ave,Cleveland,OH,41.1195346,-81.4756898,3.5,116,Sandwiches;Burgers;,Bars;,American (New);American (Traditional);,11:0-1:0,11:0-1:0,11:0-1:0,11:0-1:0,11:0-1:0,11:0-2:0,11:0-0:0
Dj0S-Oe4ytRJzMGUPgYUkw,Panera Bread,38295 Chestnut Ridge Rd,Cleveland,OH,41.343078,-82.06714,2,4,Soup;Salad;Sandwiches;,,,6:30-21:0,6:30-21:0,6:30-21:0,6:30-21:0,6:30-22:0,7:0-22:0,7:0-20:0
tRVx2c89coruPRwYhGTcTw,Yuzu,13603 Madison Ave,Cleveland,OH,41.4768463,-81.7869709,3.5,78,Comfort Food;,Izakaya;Cocktail Bars;Bars;Restaurants;Gastropubs;,Asian Fusion;Japanese;,12:0-2:0,12:0-2:0,12:0-2:0,12:0-2:0,12:0-2:0,11:0-2:0,None
0lCpaZpmjCFEmtti9O9ZdQ,LaPuma Bakery,12656 Chillicothe Rd,Cleveland,OH,41.5242686,-81.3379626,3.5,3,Bakeries;,Bakeries;,,None,None,None,None,None,None,None
YvxQOMstU2MVDr2uNHs_vw,Mitchell's Ice Cream - Solon Shop,6130 Kruse Dr,Cleveland,OH,41.392049,-81.4426351,4.5,42,Ice Cream & Frozen Yogurt;,,,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0
veXxt8rGY_RJPpA5QkHT9Q,Barrio,2466 Fairmount Blvd,Cleveland,OH,41.5005856,-81.5922779,3.5,97,Food;Tacos;Food Trucks;,Restaurants;Tacos;,,16:0-1:0,16:0-1:0,16:0-1:0,16:0-1:0,11:0-1:0,11:0-1:0,11:0-1:0
yh-NN-dCaxxleNcI-_bsUA,El Dorado's,1331 S Water St,Cleveland,OH,41.1416311,-81.3566025,2.5,7,Pizza;,,,None,None,None,None,None,None,None
GDOAg680Gmi6S1MlhU7B1g,Taco Bell,4110 Lee Road,Cleveland,OH,41.447893,-81.564678,2,5,,Restaurants;,Mexican;Tex-Mex;,7:0-3:0,7:0-3:0,7:0-3:0,7:0-3:0,7:0-4:0,7:0-4:0,7:0-3:0
1cLXGXThDYZ5WK_KpBLtkw,Koko Bakery,3710 Payne Ave,Cleveland,OH,41.5094078,-81.6621618,4,167,Bakeries;Coffee & Tea;Bubble Tea;,Bakeries;Coffee & Tea;,,9:0-20:0,None,9:0-20:0,9:0-20:0,9:0-20:0,9:0-20:0,9:0-20:0
akRtfcCezswizRIaAqJ4fQ,KFC,25467 Detroit Avenue,Cleveland,OH,41.47,-81.9014,2,9,Chicken Wings;,Restaurants;,,10:30-23:0,10:30-23:0,10:30-23:0,10:30-23:0,10:30-0:0,10:30-0:0,10:30-23:0
XguKrY0dAuaK1W6HUlUQ1Q,Retz's Laconi's II,547 Sackett Ave,Cleveland,OH,41.1312823,-81.4901798,3.5,29,,Restaurants;,Italian;,12:0-22:0,12:0-23:0,12:0-23:0,12:0-22:0,12:0-23:0,12:0-23:0,12:0-21:0
Svs-B-a5-13D2dGTKxLsyw,Mr Chicken,11680 Snow Rd,Cleveland,OH,41.4050396,-81.7683865,3,4,,Restaurants;,,None,None,None,None,None,None,None
GlZMZrA-whyu1INVXcvRnw,"Al Wilhelmy Flowers, Inc.",412 Superior Ave,Cleveland,OH,41.5008098,-81.6912682,4,3,Fruits & Veggies;Specialty Food;Food;,,,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,None
btRo30YqzXeTbgxk6gnLMw,Pizza Hut,380 Dover Center Rd,Cleveland,OH,41.48447501,-81.9211499,1.5,3,Pizza;Chicken Wings;,,Italian;,None,None,None,None,None,None,None
