business_id,name,address,city,state,latitude,longitude,stars,review_count,food_type,restaurant_type,country_type,mon,tue,wed,thu,fri,sat,sun
B5EZlEDH6AVDk8tQGHAGqg,Villa Tap,2302 Packers Ave,Madison,WI,43.1233893,-89.3553901,4,34,,Restaurants;,American (Traditional);,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:30,10:0-2:30,10:0-17:0
NoxzrJbWS4xD9ft0ygD3JA,The Brink Lounge,"701 E Washington Ave, Ste 105",Madison,WI,43.0798171,-89.3762962,3.5,30,,Lounges;,,None,16:0-14:30,16:0-14:30,16:0-14:30,16:0-14:30,16:0-14:30,None
AR6mrWO89rq-ku_t_E71AA,Munchie Delivery,111 N Broom St,Madison,WI,43.0727667,-89.3901614,3.5,7,Desserts;Food;,,,18:0-3:0,18:0-3:0,18:0-3:0,18:0-3:0,18:0-3:0,18:0-3:0,18:0-3:0
pOyt4Fon5n783Jc-hrSq-A,Apple Wellness - Fitchburg Health Store,6313 McKee Rd,Madison,WI,43.0153668,-89.4816815,4.5,14,Food;Specialty Food;,,,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-18:0,None
ugdUuApH3pYXggW5qpbALg,Mr. Torta's,4527 Cottage Grove Rd,Madison,WI,43.08397675,-89.30336322,3.5,19,,Restaurants;,Mexican;,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-20:0
0JLUC5A6Vk78qyitcWqGMQ,Pdq Food Stores,6133 McKee Rd,Madison,WI,43.01500409,-89.46963648,3,4,Food;,,,12:0-0:0,12:0-0:0,12:0-0:0,12:0-0:0,12:0-0:0,12:0-0:0,12:0-0:0
5Y-p9QJLrg2P0I8RjJ9TTQ,Chang Jiang,4929 Commercial Ave,Madison,WI,43.10563415,-89.29670107,3,9,,Restaurants;,,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:30,11:0-22:30,12:0-22:0
w_vkR8qzclBU15ygRc8jfQ,Marsala's Pizza and Ristorante,421 E Main St,Madison,WI,42.916665,-89.215815,4,4,Pizza;,,,None,None,None,None,None,None,None
rnu3iUdqqNwcQS5uSeZFTQ,Alberici's Delicatezza,"135 S Main St, Ste A",Madison,WI,42.9256,-89.384996,4.5,3,,Restaurants;,Italian;,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-18:0,10:0-16:0,None
GdnLAgRXt43eISMtJEOZRg,Sushi Express,610 University Ave,Madison,WI,43.0733361,-89.396349,3.5,76,,Restaurants;,Japanese;,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,11:0-22:0
B7wipW2uZRj7syuQiRTH4A,Pickle Jar,E Washington Pinckney,Madison,WI,43.07092418,-89.40647304,4,11,Barbeque;Food Trucks;,Barbeque;Restaurants;Local Flavor;,,11:0-14:0,11:0-14:0,11:0-14:0,11:0-14:0,11:0-14:0,None,None
NkdpsbNiafCM1ENutFksMg,Village Cafe,214 W Cottage Grove Rd,Madison,WI,43.0863206,-89.2027298,4,8,,Breakfast & Brunch;Restaurants;,,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,9:0-21:0,9:0-21:0
T9QjpTZPcWEa3i96tdLHbw,Cuco's Mexican Restaurant,1050 N Edge Trl,Madison,WI,43.0028431,-89.5328228,3,47,,,Mexican;,None,None,None,None,None,None,None
Y5Vbtaj_pkrhb99V4Q-53Q,Denny's,433 S Gammon Rd,Madison,WI,43.05824316,-89.50213641,3,19,,Diners;Restaurants;,American (Traditional);,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
RMkBZDwEbcv5Ctd-a2A0Lw,Gino's Italian Deli,4606 Verona Rd,Madison,WI,43.0351337,-89.4562756,4,62,Sandwiches;Specialty Food;Food;Pizza;,Restaurants;,Italian;,9:0-20:0,9:0-20:0,9:0-20:0,9:0-20:0,9:0-20:0,9:0-19:0,11:0-17:0
hvazqoUUIZEISCu5CiWKPA,Arbat,3000 Cahill Main,Madison,WI,43.0179055,-89.4239869,4,5,,Restaurants;,,None,None,None,None,None,None,None
29o-qEDIRpXmVmSPNsH4sA,Vin Santo,7462 Hubbard Ave,Madison,WI,43.0956058,-89.5108863,4,109,,,Italian;,17:0-21:0,17:0-21:0,17:0-21:0,17:0-21:0,17:0-22:0,17:0-22:0,None
x6RgesZWfibmBAvBr8pYdg,Stella's Bakery,2908 Syene Rd,Madison,WI,43.0310645,-89.3941432,4,40,Bakeries;,Bakeries;,,None,7:0-14:0,7:0-14:0,7:0-14:0,7:0-14:0,7:0-14:0,None
KK3Vamv05Q_1kTTW0eKvPw,Neils's Liquor,2415 Allen Blvd,Madison,WI,43.1018244,-89.4854239,2.5,3,Beer;,,,9:0-21:0,9:0-21:0,9:0-21:0,9:0-21:0,9:0-21:0,9:0-21:0,9:0-21:0
IHhP2TU45aJgR7dE_9Pj1g,Forever Yogurt,506 State St,Madison,WI,43.075103,-89.393692,3.5,17,Food;,,,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-0:0,11:0-0:0,11:0-23:0
