business_id,name,address,city,state,latitude,longitude,stars,review_count,food_type,restaurant_type,country_type,mon,tue,wed,thu,fri,sat,sun
1_3nOM7s9WqnJWTNu2-i8Q,Le Bistro Balmoral,305 Rue Sainte-Catherine O,Montreal,QC,45.50677221,-73.56672497,3,8,,Restaurants;,French;,11:30-14:0,17:0-21:30,17:0-21:30,17:0-21:30,17:0-21:30,16:30-21:30,None
#NAME?,Restaurant Lucca,12 Rue Dante,Montreal,QC,45.5328965,-73.6136037,4.5,11,,,Italian;,None,None,None,None,None,None,None
c_XbaJqhm-5ycSBOkVUBmg,Don Taco,"1855 Rue Saint Catherine Ouest, H3H 1M2",Montreal,QC,45.4932164,-73.5803794,3.5,33,,Restaurants;,,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-21:0
SJAggfn8ta7XLD98XD2mkw,QDC Burger,975 Boulevard Roméo-Vachon Nord,Montreal,QC,45.45726367,-73.75158357,3,11,Burgers;Fast Food;,Fast Food;,,None,None,None,None,None,None,None
d7AtQMYDUh40DeJinidFNQ,2 Cochons,7387 Boulevard Saint-Michel,Montreal,QC,45.5602837,-73.6010215,3.5,3,Sandwiches;Food;,Restaurants;Delicatessen;,Asian Fusion;,9:0-21:0,9:0-21:0,s,9:0-21:0,9:0-21:0,9:0-21:0,9:0-21:0
z1hRMOmEvw7jx4cq4-8Yfw,La P'tite Cabane d'la Côte,5885 Route Arthur-Sauvé,Montreal,QC,45.6561756,-74.1571917,3.5,6,Food;,Local Flavor;Restaurants;,Canadian (New);,None,None,None,None,None,None,None
_ltkVUDwaI0MTxv8g21k1A,Manchu Wok,3035 Boulevard Le carrefour,Montreal,QC,45.57119137,-73.75506389,3,3,Fast Food;,Fast Food;Restaurants;,,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,9:0-17:0,10:0-17:0
i8BUEXriiKa-RmOImgbqaQ,Philemon Bar,111 Rue Saint Paul Ouest,Montreal,QC,45.50522655,-73.55408907,3.5,48,,Bars;Wine Bars;,,17:0-3:0,17:0-3:0,17:0-3:0,16:0-3:0,16:0-3:0,16:0-3:0,18:0-3:0
t2Eg5QRgLg9DWUeMe_Duhg,Sarah B.,360 Rue Saint-Antoine O,Montreal,QC,45.502393,-73.56031,3.5,23,,Bars;,,16:0-0:0,16:0-0:0,16:0-0:0,16:0-0:0,16:0-0:0,16:0-0:0,16:0-0:0
4K1_LooJ7smBLJcKaGMjUg,Hestia,"733 Rue Cathcart, Suite 6",Montreal,QC,45.5021854,-73.5698679,4.5,6,Coffee & Tea;,Coffee & Tea;,,7:0-18:0,7:0-18:0,7:0-18:0,7:0-18:0,7:0-18:0,None,None
YgPz8vB7tw1B61qi_NLP9w,Kesté,275 Avenue Fairmount O,Montreal,QC,45.5209077,-73.5974472,4,18,,,Italian;,17:0-21:30,11:0-21:30,11:0-21:30,11:0-22:0,11:0-23:0,12:0-23:0,12:0-21:0
75MOveOQwQYbKR02rULdHA,Restaurant de Wang Ji,4354 Wellington,Montreal,QC,45.4604006,-73.5672162,3.5,5,,Restaurants;,,None,None,None,None,None,None,None
WO5uv-M-u5AG24PiRLYnZA,La Citronnelle,1386 Rue Fleury E,Montreal,QC,45.560843,-73.657388,4,7,,Restaurants;,Chinese;Vietnamese;,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,16:30-22:0,16:30-22:0
H0Zq06uQqHI3we2I_3wNxA,Sweet Lee's Rustic Bakery,291 Beaudoin Street,Montreal,QC,45.4742735,-73.585614,4.5,5,Bakeries;Food;,Bakeries;,,None,None,8:0-18:0,8:0-18:0,8:0-18:0,8:0-16:0,8:0-16:0
XjbPr3o-YTsticeavLjTEg,Hooters,1433 Rue Crescent,Montreal,QC,45.497981,-73.57722,2,20,Barbeque;,Barbeque;Restaurants;Bars;,,11:0-3:0,11:0-3:0,11:0-3:0,11:0-3:0,11:0-3:0,11:0-3:0,11:0-3:0
lUSd0oIMqN4qbFJWX8mIzA,McDonald's,6025 Chemin de la Côte-des-Neiges,Montreal,QC,45.5007414,-73.6311554,4,4,Fast Food;,Fast Food;Restaurants;,,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
QAXFmt__jImnIEvhAVZsJA,Boston Pizza,6857 Boulevard Newman,Montreal,QC,45.4486301,-73.6087194,2,17,,Restaurants;,,11:0-23:0,11:0-23:0,11:0-23:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-23:0
i-ywLm8zqwvtYobrk3DjxQ,Le Rouge Bar,7 Rue Prince Arthur O,Montreal,QC,45.5136831,-73.5728609,3.5,32,,Bars;,,None,None,None,None,22:0-3:0,22:0-3:0,None
HVd718KlG6VdY5oh5LH7mQ,Restaurant Xi'An Lina Tang,1051 Boulevard Saint-Laurent,Montreal,QC,45.5082486,-73.5599432,3,7,,,Chinese;,None,None,None,None,None,None,None
xT_xzBj-CmxdXdcx6ONGLA,Phoenix Resto Pub,1970 Rue Léonard-de-Vinci,Montreal,QC,45.577027,-73.330855,4,6,Burgers;Pizza;,Bars;Restaurants;,,11:0-0:0,11:0-0:0,11:0-0:0,11:0-3:0,11:0-3:0,16:0-3:0,16:0-0:0
0RrHQNdsMK3jPlK4f9_wWA,Presse Café,800 St Catherine E,Montreal,QC,45.515484,-73.5586047,2.5,10,Sandwiches;Food;Coffee & Tea;,Restaurants;Coffee & Tea;,,None,None,None,None,None,None,None
03bL5yYHb-chhJwyeSAkfQ,Student Tasty Biryani,1620 Avenue Lincoln,Montreal,QC,45.4958037,-73.5804942,4,19,,Restaurants;,Indian;,12:0-0:0,12:0-0:0,12:0-0:0,12:0-0:0,12:0-0:0,12:0-0:0,12:0-0:0
bGao_iVv3TAYcZ_5y9bOCQ,Le Fagotin,"5243, Chemin de Chambly Saint Hubert",Montreal,QC,45.5047799,-73.4232765,5,3,,,French;,None,None,None,None,None,None,None
