business_id,name,address,city,state,latitude,longitude,stars,review_count,food_type,restaurant_type,country_type,mon,tue,wed,thu,fri,sat,sun
EsMcGiZaQuG1OOvL9iUFug,Any Given Sundae,2612 Brandt School Rd,Pittsburgh,PA,40.61510224,-80.09134875,5,15,Coffee & Tea;Ice Cream & Frozen Yogurt;,Coffee & Tea;,,None,None,None,None,None,None,None
XOSRcvtaKc_Q5H1SAzN20A,East Coast Coffee,737 West Pike St,Pittsburgh,PA,40.24154801,-80.21281511,4.5,3,Gluten-Free;Coffee & Tea;Food;,Breakfast & Brunch;Coffee & Tea;Restaurants;,,None,None,None,None,None,None,None
BnuzcebyB1AfxH0kjNWqSg,Carrabba's Italian Grill,245 Lancaster Ave,Pittsburgh,PA,40.04100253,-75.54249651,3.5,25,,Restaurants;,Italian;,16:0-22:0,16:0-22:0,16:0-22:0,16:0-22:0,11:0-23:0,11:0-23:0,11:0-21:0
EJFdWX908N8Yc2XG0Lky8A,River Moon Cafe,104 43rd St,Pittsburgh,PA,40.472735,-79.9632647,4,5,,Cafes;,,None,17:0-21:30,17:0-21:30,17:0-21:30,17:0-21:30,17:0-21:30,None
o1fTwfqN0sDFNpV1CkOPPg,Crazy Mocha Coffee,4032 Butler St,Pittsburgh,PA,40.4692949,-79.9612733,3.5,16,Sandwiches;Coffee & Tea;,Restaurants;Coffee & Tea;,,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,8:0-21:0,9:0-21:0
#NAME?,Bruegger's Bagels,5217 Clairton Blvd,Pittsburgh,PA,40.3441937,-79.970963,2.5,5,Bagels;Bakeries;Sandwiches;,Breakfast & Brunch;Restaurants;Bakeries;,,5:30-17:0,5:30-17:0,5:30-17:0,5:30-17:0,5:30-17:0,6:0-16:0,6:0-16:0
T5CdfrZWw-uW9Y5L_sddqQ,Police Station Pizza,7235 Steubenville Pike,Pittsburgh,PA,40.4428283,-80.1862933,3,9,Pizza;,,,11:0-21:0,11:0-21:0,11:0-22:0,11:0-22:0,11:0-22:0,12:0-22:0,None
mLP-jIIRdoaYM7fJqqFurw,Napoli Pizzeria,2006 Murray Ave,Pittsburgh,PA,40.434399,-79.9229828,4,53,Pizza;,Restaurants;,Italian;,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-0:0,11:0-0:0,11:0-23:0
AXb5gCwqHl-_v6ZIMb1mXQ,Sheraton Great Valley Hotel,707 E Lancaster Ave,Pittsburgh,PA,40.0339411,-75.5818949,3,43,,Restaurants;,American (New);,None,None,None,None,None,None,None
Qs7X8UTwtp9SvtxvEP4hLg,Fine Wine & Good Spirits - Premium Collection,"The Water Works, 974 Freeport Rd",Pittsburgh,PA,40.48869359,-79.89080975,5,7,Beer;,,,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,11:0-19:0
