business_id,name,address,city,state,latitude,longitude,stars,review_count,food_type,restaurant_type,country_type,mon,tue,wed,thu,fri,sat,sun
xcgFnd-MwkZeO5G2HQ0gAQ,T & T Bakery and Cafe,35 Main Street N,Toronto,ON,43.8751774,-79.2601532,4,38,Bakeries;Bagels;,Bakeries;,,None,None,None,None,None,None,None
l09JfMeQ6ynYs5MCJtrcmQ,Alize Catering,2459 Yonge St,Toronto,ON,43.7113993,-79.3993388,3,12,,,Italian;French;,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0
Gu-xs3NIQTj3Mj2xYoN2aw,Maxim Bakery & Restaurant,"9665 Bayview Avenue, Unit 1-4",Toronto,ON,43.8675648,-79.4126618,3.5,34,Food;Bakeries;,Bakeries;,French;,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-23:0,11:0-23:0,11:0-22:0
lHYiCS-y8AFjUitv6MGpxg,Starbucks,85 Hanna Avenue,Toronto,ON,43.63986331,-79.41953319,4,21,Food;,,,5:30-22:0,5:30-22:0,5:30-22:0,5:30-22:0,5:30-23:0,6:0-23:0,7:0-22:0
VSGcuYDV3q-AAZ9ZPq4fBQ,Sportster's,1430 Danforth Avenue,Toronto,ON,43.6828673,-79.3269639,2.5,7,,Bars;,,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0
1K4qrnfyzKzGgJPBEcJaNQ,Chula Taberna Mexicana,1058 Gerrard Street E,Toronto,ON,43.6692562,-79.3359022,3.5,39,,Restaurants;,Mexican;,11:30-2:0,11:30-2:0,11:30-2:0,11:30-2:0,11:30-2:0,10:30-2:0,10:30-2:0
AtdXq_gu9NTE5rx4ct_dGg,DAVIDsTEA,10 Dundas Street E,Toronto,ON,43.6567287,-79.3807182,4,6,Coffee & Tea;Food;,Coffee & Tea;,,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,9:30-18:0,11:0-18:0
nbhBRhZtdaZmMMeb2i02pg,Sunnyside Grill,2777 Steeles Avenue W,Toronto,ON,43.7818155,-79.4904331,5,3,,Restaurants;,,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0
FXHfcFVEfI1vVngW2gVOpw,Bampot House of Tea & Board Games,201 Harbord Street,Toronto,ON,43.66158168,-79.40887846,4,55,Coffee & Tea;Food;,Coffee & Tea;Restaurants;,Mediterranean;,17:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,12:0-1:30,12:0-1:30,12:0-23:0
spDZkD6cp0JUUm6ghIWHzA,Kitchen M,8515 McCowan Road,Toronto,ON,43.867918,-79.2836865,3,80,,Restaurants;,,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0
