Cuisine,r1,r2,r3,r4,r5
Bars,11,184,720,600,46
Sandwiches,30,177,483,477,39
Fast Food,117,475,417,201,10
American,27,299,952,739,30
Pizza,25,166,380,335,15
Coffee & Tea,9,82,174,360,59
Italian,8,71,251,253,6
Burgers,69,207,259,184,10
Brunch,4,88,291,393,29
Mexican,18,163,425,382,23
Chinese,5,85,204,104,2
Specialty Food,12,27,120,308,109
Bakeries,4,38,124,201,59
Cafes,2,16,105,183,30
Desserts,4,15,102,250,61
Ice Cream,6,40,137,224,41
Japanese,1,16,110,99,5
Chicken Wings,33,142,130,83,3
Seafood,3,23,140,150,4
Salad,2,40,152,217,13
