Cuisine,1,1.5,2,2.5,3,3.5,4,4.5,5
Bars,2,3,21,64,106,156,157,95,21
Sandwiches,3,10,33,51,81,109,104,60,15
Fast Food,15,48,68,80,94,67,54,17,3
American (Traditional),2,9,30,76,120,132,96,43,8
Pizza,5,13,19,28,47,81,72,20,5
Coffee & Tea,0,3,6,19,26,27,41,53,17
Italian,1,8,10,15,25,59,45,17,3
Burgers,7,23,47,44,42,54,52,15,3
Breakfast & Brunch,2,4,10,34,47,72,79,31,2
Mexican,2,7,13,27,43,45,39,23,6
Chinese,1,2,11,18,43,50,34,7,3
American (New),1,3,14,42,61,91,97,39,5
Specialty Food,2,1,4,13,13,46,61,53,25
Bakeries,0,0,1,3,11,20,50,30,15
Cafes,0,0,1,1,13,16,36,19,5
Desserts,0,0,4,6,13,33,45,46,10
Ice Cream & Frozen Yogurt,0,3,8,14,7,26,27,23,7
Japanese,1,0,3,7,16,38,21,11,2
Chicken Wings,7,18,29,37,36,37,39,11,2
Seafood,0,1,5,24,22,47,35,21,4
Salad,1,2,9,14,48,39,58,24,3
Sushi Bars,0,1,4,4,19,49,25,8,0
Beer,0,1,1,7,22,31,59,49,12
Delis,0,1,1,8,30,29,37,25,4
Asian Fusion,0,0,0,5,12,30,29,8,0
Mediterranean,0,0,0,1,8,21,25,11,2
Barbeque,0,0,1,6,10,32,30,8,4
Canadian (New),0,0,0,0,0,0,0,0,0
Steakhouses,0,2,3,5,16,24,18,9,1
Lounges,0,0,3,6,15,18,20,11,3
Indian,0,0,1,6,7,11,12,5,2
Thai,0,0,0,0,4,8,15,5,1
Juice Bars & Smoothies,0,0,1,4,5,16,16,16,6
Diners,1,1,4,7,11,24,20,5,1
Wine Bars,0,0,1,4,10,21,35,27,7
Middle Eastern,0,0,0,0,4,3,5,6,0
Cocktail Bars,0,0,2,4,5,17,31,11,1
Greek,0,0,0,2,7,21,11,9,4
French,0,0,0,2,1,3,9,7,0
Vietnamese,0,0,2,2,1,10,16,7,0
Vegetarian,0,0,1,0,0,11,26,10,4
Local Flavor,0,0,0,1,1,4,9,19,4
Ethnic Food,0,0,1,5,4,5,10,9,1
Buffets,0,1,2,7,10,11,4,1,0
Korean,0,0,0,2,1,3,10,1,0
Soup,0,0,1,5,11,9,10,6,1
Food Trucks,0,0,0,1,6,13,12,26,8
Gluten-Free,0,0,0,0,5,9,11,2,2
Vegan,0,0,0,0,0,0,0,0,0
Tex-Mex,1,6,12,14,14,14,8,2,0
Comfort Food,0,0,1,4,5,11,7,8,4
Donuts,0,3,8,10,5,5,4,8,1
Hot Dogs,5,3,6,4,8,7,5,10,2
Bagels,0,0,2,3,13,8,8,6,2
Caribbean,0,0,0,2,3,3,11,6,1
Gastropubs,0,0,0,0,3,3,10,2,0
German,0,0,0,0,0,0,1,2,0
Latin American,0,0,1,3,3,11,19,12,2
Breweries,1,0,0,0,1,3,20,18,2
Halal,1,0,0,0,1,4,6,4,2
Southern,0,0,4,4,16,34,38,8,1
Tapas/Small Plates,0,0,0,0,4,4,7,6,1
Tea Rooms,0,0,1,0,1,0,0,0,0
Pakistani,0,0,0,1,4,2,3,3,0
Fruits & Veggies,0,0,0,0,0,1,6,4,3
British,0,0,0,0,1,1,1,0,0
Fish & Chips,0,0,1,2,3,3,0,1,0
Noodles,0,0,1,0,2,4,6,5,0
Tapas Bars,0,0,0,0,0,0,0,0,0
Beer Bar,0,0,0,0,1,6,22,16,5
Bubble Tea,0,0,1,0,1,2,1,4,0
Cupcakes,0,0,1,0,3,3,8,8,6
Food Stands,0,0,0,0,3,2,5,3,1
Hawaiian,0,0,0,0,0,2,1,0,0
Soul Food,0,0,0,2,6,13,11,12,1
Dim Sum,0,0,0,1,0,0,1,0,0
Cajun/Creole,0,1,2,1,2,5,5,3,0
Portuguese,0,0,0,0,0,0,0,0,1
Modern European,0,0,0,0,0,0,2,2,0
Creperies,0,0,0,0,0,0,3,5,0
Shaved Ice,0,0,0,0,0,1,3,2,0
Swabian,0,0,0,0,0,0,0,0,0
Spanish,0,0,0,1,0,5,4,2,2
Filipino,0,0,0,0,0,0,0,0,0
Cheesesteaks,0,0,1,1,3,5,3,1,0
Irish,0,0,0,0,1,3,6,2,0
Turkish,0,0,0,0,0,1,0,2,0
Patisserie/Cake Shop,0,0,0,0,0,1,1,1,0
Lebanese,0,0,0,0,1,0,1,3,0
Cheese Shops,0,0,0,0,0,2,2,3,1
Taiwanese,0,0,0,0,0,1,1,1,0
Custom Cakes,0,0,0,0,0,2,3,3,2
Gay Bars,0,0,0,0,2,3,1,0,1
Ramen,0,0,0,0,1,0,2,3,0
