Cuisine,1,1.5,2,2.5,3,3.5,4,4.5,5
Bars,0,1,9,30,56,84,101,26,4
Sandwiches,1,4,7,21,27,39,36,16,4
Fast Food,3,12,13,13,13,26,22,7,1
American (Traditional),0,0,4,21,61,57,52,11,2
Pizza,1,3,9,19,20,22,27,7,2
Coffee & Tea,0,3,0,5,8,23,37,30,9
Italian,0,1,8,11,18,19,18,4,0
Burgers,5,1,6,15,16,28,31,5,1
Breakfast & Brunch,0,0,1,7,17,25,40,13,2
Mexican,2,2,4,13,20,14,20,12,0
Chinese,1,0,1,9,14,16,10,3,3
American (New),1,0,5,12,15,34,44,10,1
Specialty Food,0,0,1,2,3,12,27,32,7
Bakeries,0,1,1,0,7,11,22,17,6
Cafes,0,0,0,0,10,9,32,21,5
Desserts,0,1,0,2,4,8,9,12,2
Ice Cream & Frozen Yogurt,0,1,0,1,7,13,12,12,5
Japanese,0,0,1,2,6,8,9,2,1
Chicken Wings,2,1,10,12,7,8,4,1,0
Seafood,0,0,0,2,6,18,14,4,0
Salad,0,0,1,6,11,10,11,2,1
Sushi Bars,0,0,1,2,5,9,4,1,1
Beer,1,0,1,4,7,15,21,21,5
Delis,0,1,2,7,4,9,12,7,4
Asian Fusion,0,0,3,5,8,15,11,1,0
Mediterranean,0,0,0,2,4,10,11,6,1
Barbeque,0,0,1,0,3,9,5,2,1
Canadian (New),0,0,0,0,0,0,0,0,0
Steakhouses,0,0,1,3,6,7,8,0,0
Lounges,0,0,1,4,1,12,7,4,0
Indian,0,0,0,0,0,9,8,5,0
Thai,0,0,0,3,4,7,6,1,1
Juice Bars & Smoothies,1,0,0,0,4,3,8,3,5
Diners,0,1,1,5,5,3,4,1,0
Wine Bars,0,0,0,1,4,4,7,7,1
Middle Eastern,0,0,0,1,0,2,4,1,0
Cocktail Bars,0,0,1,3,1,9,10,3,0
Greek,0,0,0,2,2,3,5,1,0
French,0,0,0,0,1,0,3,1,1
Vietnamese,0,0,0,0,0,5,3,0,0
Vegetarian,0,0,1,0,3,10,12,1,1
Local Flavor,1,0,0,0,2,4,6,3,5
Ethnic Food,0,0,0,0,0,2,9,2,1
Buffets,0,1,2,2,3,1,1,0,0
Korean,0,0,0,0,0,4,1,0,0
Soup,0,0,0,3,5,4,6,0,0
Food Trucks,0,0,0,0,2,4,8,7,4
Gluten-Free,0,0,0,0,4,2,5,4,1
Vegan,0,0,0,0,0,0,0,0,0
Tex-Mex,1,1,1,3,4,6,1,1,0
Comfort Food,0,0,1,5,2,1,3,2,0
Donuts,0,0,0,1,3,0,3,2,0
Hot Dogs,0,0,0,0,0,2,3,1,1
Bagels,0,0,0,2,7,3,1,1,0
Caribbean,0,0,0,1,0,1,3,3,0
Gastropubs,0,0,0,0,2,3,5,2,0
German,0,0,1,0,0,1,2,0,0
Latin American,0,0,0,2,2,3,2,3,1
Breweries,0,0,0,0,4,10,7,4,2
Halal,0,0,0,0,0,2,1,0,0
Southern,0,0,0,0,1,1,2,2,0
Tapas/Small Plates,0,0,0,0,1,1,5,2,0
Tea Rooms,0,0,0,0,0,0,1,1,3
Pakistani,0,0,0,0,0,3,3,0,0
Fruits & Veggies,0,0,0,0,0,1,1,5,2
British,0,0,0,0,0,0,2,0,0
Fish & Chips,0,0,0,0,2,2,2,1,0
Noodles,0,0,1,3,1,4,1,0,0
Tapas Bars,0,0,0,0,0,0,0,0,0
Beer Bar,0,0,0,2,2,3,7,2,0
Bubble Tea,1,0,0,0,0,0,2,1,0
Cupcakes,0,0,0,1,1,1,1,1,1
Food Stands,0,0,0,1,1,0,3,4,2
