Cuisine,1,1.5,2,2.5,3,3.5,4,4.5,5
Bars,1,2,16,34,77,136,151,84,15
Sandwiches,1,6,6,21,40,51,100,80,24
Fast Food,1,7,15,28,26,32,31,17,5
American (Traditional),0,1,3,8,25,28,17,9,3
Pizza,3,3,16,37,52,60,69,33,11
Coffee & Tea,0,5,3,17,27,69,118,116,34
Italian,0,3,12,23,40,63,70,54,11
Burgers,1,7,9,30,39,61,49,21,4
Breakfast & Brunch,2,2,8,24,40,80,136,75,13
Mexican,0,2,3,5,7,20,23,5,6
Chinese,3,1,6,19,27,44,41,12,5
American (New),0,1,2,0,3,4,6,3,1
Specialty Food,0,6,5,8,24,46,97,107,24
Bakeries,0,0,3,1,12,35,76,79,27
Cafes,0,4,5,12,30,58,129,104,36
Desserts,0,1,1,4,11,24,43,46,8
Ice Cream & Frozen Yogurt,0,0,0,5,6,8,36,34,6
Japanese,0,1,4,8,25,35,57,27,6
Chicken Wings,0,0,3,9,5,14,7,1,0
Seafood,0,1,4,10,14,28,35,22,1
Salad,0,1,2,9,12,21,22,12,7
Sushi Bars,0,1,9,12,27,36,58,29,6
Beer,0,0,1,3,10,15,35,17,3
Delis,0,2,5,6,13,12,15,15,3
Asian Fusion,1,1,3,9,17,37,32,16,3
Mediterranean,1,2,6,4,11,25,42,25,6
Barbeque,0,0,2,15,25,27,28,12,4
Canadian (New),0,3,8,23,46,81,83,61,3
Steakhouses,0,1,3,16,17,35,32,12,2
Lounges,0,0,0,6,11,22,18,4,5
Indian,0,0,3,10,14,21,24,13,1
Thai,2,3,8,5,11,18,21,12,3
Juice Bars & Smoothies,0,0,0,1,2,9,15,15,5
Diners,0,0,1,6,6,13,15,4,1
Wine Bars,0,0,4,1,4,8,19,17,2
Middle Eastern,1,2,4,10,12,21,29,17,11
Cocktail Bars,0,0,1,2,13,22,27,18,0
Greek,1,0,2,8,7,16,18,14,1
French,0,3,4,12,37,61,96,63,21
Vietnamese,1,1,5,3,23,32,41,24,6
Vegetarian,0,0,0,3,9,12,31,19,2
Local Flavor,0,0,0,2,1,3,4,14,6
Ethnic Food,0,2,0,1,3,9,17,13,3
Buffets,0,1,6,8,11,6,4,2,1
Korean,0,0,0,0,8,8,10,13,3
Soup,0,1,0,1,3,4,12,11,1
Food Trucks,0,0,0,0,2,6,12,9,1
Gluten-Free,0,1,1,4,7,13,16,11,4
Vegan,0,0,0,0,0,0,0,0,0
Tex-Mex,0,1,1,3,5,2,2,1,0
Comfort Food,1,0,2,6,6,10,21,11,1
Donuts,0,0,1,4,2,3,6,2,2
Hot Dogs,0,1,3,5,2,5,14,5,2
Bagels,0,0,0,2,3,5,6,6,1
Caribbean,0,0,0,1,2,5,7,8,2
Gastropubs,0,0,0,4,8,12,13,9,2
German,0,0,0,0,0,3,1,2,0
Latin American,0,0,1,0,5,10,13,9,5
Breweries,0,0,0,3,3,7,7,10,1
Halal,0,0,1,3,4,7,5,5,2
Southern,0,0,0,0,2,0,3,4,0
Tapas/Small Plates,0,0,0,2,4,15,15,11,2
Tea Rooms,0,0,0,1,2,3,12,15,3
Pakistani,0,0,1,7,2,7,8,2,0
Fruits & Veggies,0,0,1,1,2,8,11,12,1
British,0,0,0,2,1,1,2,4,0
Fish & Chips,0,0,0,0,0,3,4,3,0
Noodles,0,0,1,3,3,2,4,1,0
Tapas Bars,0,0,0,0,0,0,0,0,0
Beer Bar,0,0,0,0,2,1,2,2,0
Bubble Tea,0,0,0,1,3,1,4,2,1
Cupcakes,0,0,0,0,0,0,0,0,0
Food Stands,0,0,0,0,0,2,2,3,0
Hawaiian,0,0,0,0,0,5,0,0,0
Soul Food,0,0,0,0,1,0,4,0,1
Dim Sum,0,0,0,3,2,5,2,4,1
Cajun/Creole,0,0,0,0,1,3,2,6,1
Portuguese,0,0,0,2,5,15,22,9,5
Modern European,0,0,1,0,4,7,8,8,1
Creperies,0,0,0,4,8,7,16,9,3
Shaved Ice,0,0,0,0,0,0,0,0,0
Swabian,0,0,0,0,0,0,0,0,0
Spanish,0,0,0,0,2,3,7,7,0
Filipino,0,0,0,0,0,0,0,1,2
Cheesesteaks,0,0,0,0,0,0,0,0,0
Irish,0,0,0,0,2,5,7,1,0
Turkish,0,0,0,0,2,2,2,1,0
Patisserie/Cake Shop,0,0,0,1,0,3,14,6,2
Lebanese,1,3,2,5,8,11,10,9,3
Cheese Shops,0,1,0,0,4,1,10,11,3
Taiwanese,0,0,0,2,0,2,5,3,1
Custom Cakes,0,0,0,0,0,0,0,0,0
Gay Bars,0,0,0,1,1,1,2,0,0
Ramen,0,0,0,1,3,2,5,1,1
Delicatessen,0,1,0,2,2,6,13,17,5
Persian/Iranian,0,0,0,0,1,2,3,2,0
Bistros,0,0,0,2,1,12,14,7,3
Tacos,0,0,0,0,0,0,0,1,0
Brasseries,0,0,0,6,8,19,19,13,0
Do-It-Yourself Food,0,0,0,1,0,2,0,0,0
Food Court,0,0,0,0,0,1,1,0,0
African,0,0,1,0,1,0,2,5,1
Poutineries,0,1,1,2,4,11,22,10,2
International,0,0,0,1,0,3,6,3,1
Gelato,0,0,0,0,0,0,0,0,0
Kosher,0,0,1,0,1,2,1,3,1
Coffee Roasteries,0,0,0,0,0,0,2,3,0
Falafel,0,0,0,0,1,0,4,3,2
Poke,0,0,0,0,0,0,0,0,0
Afghan,0,0,0,0,1,0,1,1,1
Pan Asian,0,0,0,0,0,0,0,0,0
Peruvian,0,0,0,0,1,1,3,6,0
Waffles,0,0,0,0,0,2,1,1,0
Hot Pot,0,0,0,0,0,0,2,1,0
Szechuan,0,0,0,0,2,1,0,0,1
Brazilian,0,0,1,3,1,0,1,0,1
Cantonese,0,0,1,0,0,1,1,1,0
Personal Chefs,0,0,0,0,0,0,1,0,0
Ethiopian,0,0,0,0,0,0,1,0,0
Pretzels,0,0,0,0,0,0,0,0,0
Cuban,0,0,0,0,0,0,1,1,0
Malaysian,0,0,0,0,0,0,2,0,0
Live/Raw Food,0,0,0,0,0,1,2,0,0
Salvadoran,0,0,0,0,0,1,3,1,1
Moroccan,0,1,0,2,0,2,7,3,0
Arabian,0,0,0,1,1,0,1,3,2
Russian,0,0,0,0,0,0,4,1,1
Macarons,0,0,0,0,0,0,3,1,0
Acai Bowls,0,0,0,0,0,0,0,0,1
Himalayan/Nepalese,0,0,0,0,1,0,2,0,0
Popcorn Shops,0,0,0,0,0,0,0,0,0
Belgian,0,0,0,0,0,6,3,1,0
Argentine,0,0,0,1,0,1,0,0,0
Cafeteria,0,0,0,0,0,0,0,0,0
Mongolian,0,0,0,0,0,2,1,0,0
Whiskey Bars,0,0,0,0,0,1,2,0,0
Colombian,0,0,0,0,2,0,0,3,0
Cambodian,0,1,0,0,1,2,2,2,0
Beverage Store,0,0,0,0,0,0,0,0,0
New Mexican Cuisine,0,0,0,0,0,0,0,0,0
Hungarian,0,0,0,0,0,0,0,0,0
Basque,0,0,0,0,0,1,0,2,0
Sri Lankan,0,0,0,0,0,1,0,1,0
Champagne Bars,0,0,0,0,0,0,1,1,0
Hakka,0,0,0,0,0,0,0,0,0
Venezuelan,0,0,0,0,0,0,0,3,0
Teppanyaki,0,0,0,0,0,0,0,0,0
Indonesian,0,0,0,0,0,1,5,0,0
Puerto Rican,0,0,0,0,0,0,0,0,0
Bangladeshi,0,0,0,0,0,0,0,0,1
Singaporean,0,0,0,0,0,0,1,0,0
Ukrainian,0,0,0,0,0,0,0,1,0
Coffeeshops,0,0,0,0,0,0,0,0,0
Muay Thai,0,0,0,0,0,0,0,1,0
South African,0,0,0,0,0,0,0,0,0
Dominican,0,0,0,0,0,0,0,0,0
Serbo Croatian,0,0,0,0,0,0,0,0,0
Scandinavian,0,0,0,0,1,1,0,0,0
Laotian,0,0,0,0,0,0,0,0,0
Curry Sausage,0,0,0,0,0,0,0,0,0
Austrian,0,0,0,0,0,0,0,0,0
Bavarian,0,0,0,0,0,0,0,0,0
Egyptian,0,0,0,0,1,0,1,0,0
Burmese,0,0,0,0,0,0,1,0,0
Izakaya,0,0,0,0,0,0,0,0,0
Haitian,0,0,0,0,0,2,2,1,1
Australian,0,0,0,0,0,0,0,2,0
Shanghainese,0,0,0,0,0,0,0,0,0
Armenian,0,0,0,0,0,0,0,0,0
Czech,0,0,0,0,0,0,0,2,0
Syrian,0,0,0,0,0,1,0,1,1
Trinidadian,0,0,0,0,0,0,0,0,0
Tuscan,0,0,0,0,0,0,0,0,0
Iberian,0,0,0,0,0,0,1,0,0
Honduran,0,0,0,0,0,0,0,0,0
Slovakian,0,0,0,0,0,0,0,0,0
Swiss Food,0,0,0,0,0,0,0,0,0
Uzbek,0,0,0,0,0,0,0,0,0
Kombucha,0,0,0,0,0,0,0,0,0
Themed Cafes,0,0,0,0,0,0,0,0,0
Baden,0,0,0,0,0,0,0,0,0
Eastern European,0,0,0,0,0,0,0,0,0
Nicaraguan,0,0,0,0,0,0,0,0,0
Pita,0,0,0,0,0,0,0,0,0
Japanese Curry,0,0,0,0,0,0,0,0,0
Mauritius,0,0,0,0,0,0,0,0,0
Schnitzel,0,0,0,0,0,0,0,0,0
Udon,0,0,0,0,0,0,0,0,0
Traditional Norwegian,0,0,0,0,0,0,0,0,0
Tonkatsu,0,0,0,0,0,0,0,0,0
Senegalese,0,0,0,0,0,0,0,0,0
Conveyor Belt Sushi,0,0,0,0,0,0,0,0,0
Baguettes,0,0,0,0,0,0,0,0,0
Parent Cafes,0,0,0,0,0,0,0,0,0
Hong Kong Style Cafe,0,0,0,0,0,0,0,0,0
Eastern German,0,0,0,0,0,0,0,0,0
Sicilian,0,0,0,0,0,0,0,0,0
Hainan,0,0,0,0,0,0,0,0,0
Bulgarian,0,0,0,0,0,0,0,0,0
