Cuisine,1,1.5,2,2.5,3,3.5,4,4.5,5
Bars,12,19,77,182,391,436,324,117,19
Sandwiches,17,22,50,86,143,155,197,118,29
Fast Food,23,50,94,102,151,131,92,45,11
American (Traditional),4,12,39,93,171,135,83,27,6
Pizza,11,24,50,105,139,137,148,53,11
Coffee & Tea,3,9,56,110,223,293,324,169,36
Italian,7,22,34,70,127,183,196,83,13
Burgers,6,28,53,92,162,149,95,36,10
Breakfast & Brunch,0,7,37,64,145,219,190,71,13
Mexican,0,6,13,43,50,52,59,13,2
Chinese,5,15,43,107,257,313,142,35,3
American (New),0,0,8,18,48,56,33,5,1
Specialty Food,3,8,31,60,139,188,224,154,64
Bakeries,2,3,18,43,88,162,204,102,44
Cafes,1,6,29,48,99,141,182,104,28
Desserts,0,1,13,40,103,125,158,88,28
Ice Cream & Frozen Yogurt,0,3,13,22,47,55,76,42,11
Japanese,3,4,21,45,127,191,151,51,6
Chicken Wings,10,22,52,83,84,67,51,14,4
Seafood,2,4,6,32,57,128,106,26,6
Salad,0,3,8,14,42,62,65,31,7
Sushi Bars,2,7,13,37,89,117,91,30,4
Beer,1,1,8,35,62,64,69,32,9
Delis,0,2,9,15,21,34,50,29,6
Asian Fusion,2,2,11,37,77,106,77,20,3
Mediterranean,1,8,17,43,68,96,91,47,10
Barbeque,0,6,15,31,55,70,63,16,7
Canadian (New),3,13,44,83,182,207,186,74,8
Steakhouses,0,0,10,23,40,61,47,11,2
Lounges,3,2,17,27,58,82,51,18,4
Indian,1,7,12,38,85,146,107,42,6
Thai,2,5,18,34,72,113,73,13,1
Juice Bars & Smoothies,2,2,8,22,31,61,63,35,10
Diners,0,3,4,17,55,62,59,19,2
Wine Bars,0,0,5,7,25,52,36,19,2
Middle Eastern,1,8,19,33,71,101,95,44,14
Cocktail Bars,1,2,2,4,16,44,53,25,2
Greek,1,5,14,24,46,43,34,22,2
French,0,0,2,11,14,38,57,23,1
Vietnamese,0,2,7,19,50,70,74,15,4
Vegetarian,0,0,4,7,30,57,61,30,4
Local Flavor,0,0,0,1,8,11,24,15,10
Ethnic Food,1,1,13,22,64,83,46,29,7
Buffets,1,2,3,12,28,32,9,5,0
Korean,0,3,5,17,53,89,79,21,3
Soup,1,1,0,8,17,34,23,12,4
Food Trucks,0,0,0,3,6,8,12,7,3
Gluten-Free,1,0,3,12,28,30,38,16,8
Vegan,0,0,0,0,0,0,0,0,0
Tex-Mex,0,0,4,9,15,12,9,1,0
Comfort Food,1,4,16,24,65,41,53,23,2
Donuts,1,5,12,10,21,16,9,5,0
Hot Dogs,2,3,3,3,15,12,14,10,1
Bagels,0,1,4,5,20,15,14,4,2
Caribbean,1,3,3,10,28,53,75,35,5
Gastropubs,1,0,3,12,26,27,29,8,1
German,0,0,0,1,2,4,5,5,0
Latin American,0,1,1,1,8,16,26,19,3
Breweries,0,0,0,0,9,15,8,8,0
Halal,2,2,4,18,47,50,51,26,9
Southern,0,0,1,0,8,11,17,3,2
Tapas/Small Plates,0,1,1,3,3,25,29,8,0
Tea Rooms,0,0,4,13,26,43,29,19,4
Pakistani,0,2,10,13,35,31,28,11,2
Fruits & Veggies,0,1,0,3,8,10,18,13,3
British,0,1,2,6,11,18,19,4,0
Fish & Chips,1,2,4,3,11,18,24,20,0
Noodles,0,0,1,5,10,33,14,6,1
Tapas Bars,0,0,0,0,0,0,0,0,0
Beer Bar,0,0,0,0,3,9,9,3,2
Bubble Tea,0,0,2,5,10,19,19,8,1
Cupcakes,0,0,0,0,0,2,0,1,0
Food Stands,0,0,2,5,7,6,9,7,4
Hawaiian,0,1,0,1,4,1,6,1,0
Soul Food,0,0,0,0,8,4,7,3,0
Dim Sum,0,1,4,11,41,36,10,4,1
Cajun/Creole,0,1,5,2,9,16,7,1,2
Portuguese,0,1,2,6,15,24,31,8,0
Modern European,0,0,0,3,4,15,22,10,0
Creperies,0,0,2,4,7,13,11,6,0
Shaved Ice,0,0,0,0,0,0,0,0,0
Swabian,0,0,0,0,0,0,0,0,0
Spanish,1,0,1,0,3,10,10,3,0
Filipino,3,1,1,2,10,9,16,5,1
Cheesesteaks,0,0,0,2,2,2,2,4,0
Irish,1,1,1,3,16,12,6,0,0
Turkish,0,0,1,1,4,5,16,11,0
Patisserie/Cake Shop,0,0,2,1,1,6,9,7,0
Lebanese,0,0,2,3,7,12,9,5,1
Cheese Shops,0,1,1,0,4,7,17,12,4
Taiwanese,0,1,4,9,20,32,4,3,1
Custom Cakes,0,0,0,0,1,4,8,4,3
Gay Bars,0,0,0,4,2,4,3,2,0
Ramen,0,0,0,1,8,22,8,4,0
Delicatessen,0,0,1,1,6,8,9,4,2
Persian/Iranian,0,0,1,6,13,16,21,6,0
Bistros,0,0,2,0,4,4,7,6,0
Tacos,0,0,0,0,0,0,0,0,0
Brasseries,0,0,0,0,0,7,5,1,0
Do-It-Yourself Food,0,0,1,0,6,4,8,1,0
Food Court,1,0,6,4,12,11,12,4,0
African,0,0,0,2,9,10,11,9,1
Poutineries,0,1,1,2,9,9,10,8,0
International,0,0,0,0,0,3,3,1,0
Gelato,0,0,0,0,1,3,2,0,0
Kosher,0,0,1,1,5,8,5,4,2
Coffee Roasteries,0,0,0,0,1,8,6,3,3
Falafel,0,1,2,0,10,8,12,8,2
Poke,0,0,0,0,1,2,8,1,0
Afghan,0,0,2,1,9,16,18,4,4
Pan Asian,0,0,0,0,0,0,0,0,0
Peruvian,0,0,0,0,0,4,7,1,1
Waffles,0,0,0,1,2,5,5,2,1
Hot Pot,0,0,2,7,15,6,5,0,0
Szechuan,0,0,0,1,1,3,0,0,0
Brazilian,0,1,0,0,4,7,2,3,1
Cantonese,0,0,1,0,2,1,1,1,0
Personal Chefs,0,0,0,0,1,1,2,1,3
Ethiopian,0,0,0,0,0,4,7,7,2
Pretzels,0,0,0,0,0,0,0,0,0
Cuban,0,0,0,0,0,3,2,1,0
Malaysian,0,0,1,5,7,9,8,2,0
Live/Raw Food,0,0,0,1,2,7,7,4,1
Salvadoran,0,0,0,0,1,1,1,2,0
Moroccan,0,0,0,0,3,2,4,1,2
Arabian,0,0,0,4,3,2,3,3,1
Russian,0,0,1,1,0,4,7,1,2
Macarons,0,0,0,0,1,3,8,1,1
Acai Bowls,0,0,0,0,0,0,1,0,0
Himalayan/Nepalese,0,0,0,0,1,2,9,4,0
Popcorn Shops,0,0,0,0,0,0,0,0,0
Belgian,0,0,0,0,5,1,2,0,0
Argentine,0,1,1,0,3,1,2,3,1
Cafeteria,0,0,0,0,0,0,0,0,0
Mongolian,0,0,0,0,1,3,0,0,0
Whiskey Bars,0,0,0,0,0,1,1,3,0
Colombian,0,0,0,0,0,1,2,2,0
Cambodian,0,0,1,0,1,3,2,0,0
Beverage Store,0,0,0,0,0,0,0,0,0
New Mexican Cuisine,0,0,0,0,0,0,0,0,0
Hungarian,0,0,0,0,3,4,1,3,0
Basque,0,0,0,0,0,0,0,0,0
Sri Lankan,0,1,0,1,3,3,9,2,1
Champagne Bars,0,0,0,0,0,0,1,0,0
Hakka,1,0,0,0,3,5,8,1,0
Venezuelan,0,0,0,0,0,3,0,1,1
Teppanyaki,0,0,0,0,0,0,0,1,0
Indonesian,0,1,0,0,1,3,1,1,1
Puerto Rican,0,0,0,0,0,0,0,0,0
Bangladeshi,0,0,0,0,1,2,1,1,0
Singaporean,0,0,0,1,3,5,1,0,0
Ukrainian,0,0,1,0,1,3,3,1,1
Coffeeshops,0,0,0,0,0,0,0,0,0
Muay Thai,0,0,0,0,0,1,1,1,1
South African,0,0,0,1,5,2,3,2,0
Dominican,0,0,0,0,0,0,0,0,0
Serbo Croatian,0,0,0,0,0,0,0,0,0
Scandinavian,0,0,0,0,0,0,0,1,0
Laotian,0,0,0,0,0,0,2,0,0
Curry Sausage,0,0,0,0,0,0,0,0,0
Austrian,0,0,0,0,0,2,1,0,0
Bavarian,0,0,0,0,0,0,0,0,0
Egyptian,0,0,0,1,0,0,3,0,0
Burmese,0,0,0,0,0,0,0,1,0
