,Las Vegas,Madison,Phoenix,Cleveland,Charlotte,Montreal,Toronto
Bars,3.65,3.53,3.55,3.51,3.57,3.65,3.34
Sandwiches,3.44,3.4,3.5,3.48,3.43,3.81,3.43
Fast Food,2.83,3.04,2.83,2.86,2.8,3.25,2.97
American (Traditional),3.42,3.42,3.35,3.29,3.3,3.45,3.16
Pizza,3.34,3.25,3.39,3.37,3.31,3.45,3.23
Coffee & Tea,3.59,3.91,3.8,3.77,3.77,3.97,3.54
Italian,3.55,3.23,3.54,3.45,3.41,3.64,3.44
Burgers,3.1,3.27,3.04,3.02,2.97,3.37,3.14
Breakfast & Brunch,3.64,3.68,3.68,3.38,3.46,3.76,3.47
Mexican,3.55,3.32,3.47,3.29,3.33,3.62,3.27
Chinese,3.36,3.37,3.27,3.3,3.3,3.43,3.25
American (New),3.63,3.53,3.59,3.49,3.48,3.55,3.32
Specialty Food,3.98,4.11,4.05,3.99,3.91,3.98,3.69
Bakeries,3.8,3.96,3.88,3.87,4.02,4.13,3.72
Cafes,3.69,4.01,3.91,3.96,3.89,3.98,3.63
Desserts,3.89,3.86,4.05,4.01,3.91,3.98,3.67
Ice Cream & Frozen Yogurt,3.66,3.87,3.8,3.92,3.6,4.06,3.59
Japanese,3.79,3.55,3.62,3.63,3.53,3.72,3.47
Chicken Wings,3.15,2.73,2.95,2.95,2.95,3.21,2.91
Seafood,3.74,3.64,3.64,3.47,3.5,3.64,3.51
Salad,3.71,3.4,3.71,3.41,3.5,3.66,3.59
Sushi Bars,3.81,3.43,3.71,3.68,3.49,3.65,3.4
Beer,3.76,3.87,3.88,3.75,3.91,3.85,3.49
Delis,3.57,3.61,3.55,3.76,3.67,3.54,3.62
Asian Fusion,3.87,3.34,3.61,3.56,3.64,3.58,3.39
Mediterranean,3.87,3.76,3.93,3.99,3.82,3.75,3.46
Barbeque,3.65,3.64,3.66,3.42,3.68,3.51,3.37
Canadian (New),,,,,,3.64,3.38
Steakhouses,3.71,3.36,3.41,3.28,3.47,3.5,3.39
Sum,3.6,3.54,3.58,3.53,3.52,3.67,3.41
