business_id,name,address,city,state,latitude,longitude,stars,review_count,food_type,restaurant_type,country_type,mon,tue,wed,thu,fri,sat,sun
fNMVV_ZX7CJSDWQGdOM8Nw,Showmars Government Center,600 E 4th St,Charlotte,NC,35.2216474,-80.8393449,3.5,7,,Restaurants;,,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,None,None
zjySmTfL9WiMDVgp8-Jp3w,TCBY,"610 Jetton St, Ste 130",Charlotte,NC,35.5012273,-80.8609494,3.5,3,Desserts;Ice Cream & Frozen Yogurt;,,,None,None,None,None,None,None,None
HAX1zec191t7QkT2sBZ76A,La Isla Cuban Restaurant,"1816 Galerea Blvd, Ste D",Charlotte,NC,35.137223,-80.734594,3,4,,Restaurants;,,None,None,None,None,None,None,None
c7X2SdKxVJMaOnFROO8WEg,Finga Lickin' Caribbean Eatery,2838 The Plz,Charlotte,NC,35.236823,-80.801084,4.5,21,Pizza;Food;,Restaurants;,,11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:0,None
WUiDaFQRZ8wKYGLvmjFjAw,China Buffet,8630 University Executive Park Dr,Charlotte,NC,35.306173,-80.752672,3.5,76,Buffets;Sushi Bars;,Restaurants;,,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,11:0-22:30,11:0-22:30,11:0-21:30
5q6Xh-UcJa78bp6dzyaE7w,Duck Donuts,"1710 Kenilworth Ave, Ste 220",Charlotte,NC,35.2026242,-80.8444191,4.5,373,Food;Coffee & Tea;Donuts;,Breakfast & Brunch;Coffee & Tea;,,6:0-15:0,6:0-15:0,6:0-19:0,6:0-19:0,6:0-19:0,6:0-19:0,6:0-15:0
mtTxLi9CZNOsDqOTJH3pQw,Felicitea,"516 E 15th St, Ste 11D",Charlotte,NC,35.2328829,-80.8256098,3,4,Food;Coffee & Tea;,Coffee & Tea;,,None,None,None,None,None,None,None
bA21m-qbgN_GNR6g-AlfYw,Dynasty Buffett,2932 E Franklin Blvd,Charlotte,NC,35.2627353,-81.125895,3.5,30,,Restaurants;,,10:45-21:30,10:45-21:45,10:45-21:45,10:45-21:45,10:45-22:30,10:30-22:30,10:45-22:30
xMP2oDrKFqyUrN0Uww85EQ,Dockside Seafood Market,3017 Kilborne Dr,Charlotte,NC,35.214618,-80.770211,4.5,3,Food;,,,None,None,None,None,None,None,None
WZdHNL9F0VWPRGLf1GQcbA,Steak 'n Shake,2656 E Franklin Blvd,Charlotte,NC,35.26061868,-81.13057778,2.5,28,Fast Food;Burgers;,Fast Food;Restaurants;Breakfast & Brunch;,,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,0:0-0:0,0:0-0:0
lZ9ReZiXX8p6fgEQk6gIGQ,Rite Aid,617 Highland St,Charlotte,NC,35.2887,-81.018498,2,4,Food;,,,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,11:0-19:0
aFmcd1VXT4f9gjLWreSQvA,Cigarettes and More,8328 Pineville Matthews Rd,Charlotte,NC,35.0895921,-80.8604778,4.5,3,Food;,,,None,None,None,None,None,None,None
K8NUJWxYXlRyNS4SzZYMrw,Dunkin' Donuts,16131 Lancaster Hwy,Charlotte,NC,35.028656,-80.8511594,2.5,17,Coffee & Tea;Food;Donuts;,Coffee & Tea;,,5:30-21:0,5:30-21:0,5:30-21:0,5:30-21:0,5:30-21:0,6:0-21:0,6:0-21:0
suNxw61sND7uCfTXW6XcNw,Walmart Supercenter,2420 Supercenter Dr NE,Charlotte,NC,35.4626809,-80.5946648,2.5,12,Food;,,,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
NS6sflNa3aqP74iDzIDB9g,The Art Of Baking,,Charlotte,NC,35.1825962,-80.6548882,5,5,Food;,,,None,None,None,None,None,None,None
VpXlnz2dD4KzPw4yJ_eJ3A,QuikTrip,859 Concord Pkwy S,Charlotte,NC,35.3947733,-80.6168189,2.5,5,Food;,,,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
vS_smYJauSPV6FjEo7n5yg,Walmart Supercenter,7735 N Tryon St,Charlotte,NC,35.29543,-80.7583318,2,42,Food;,,,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0
bQczh42duSfnETW-73xaTQ,Hardee's,4280 Highway 49 S,Charlotte,NC,35.3226435,-80.6481118,2.5,7,,Restaurants;,,None,None,None,None,None,None,None
0v984vlPQfb4VZWvBJSsfg,Cosmos Cafe,300 N College St,Charlotte,NC,35.2278319,-80.8392384,3,59,Sushi Bars;,Restaurants;Lounges;,American (New);,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,17:0-2:0,None
O_UiTH7YjqTS1UTk-shFnA,Real Food Charlotte,"2102 South Blvd, #150",Charlotte,NC,35.208548,-80.86153,4,4,,Restaurants;Vegetarian;,,6:0-15:0,6:0-15:0,6:0-15:0,6:0-15:0,6:0-15:0,8:0-15:0,None
9YiIVnH_QokhOCqho28CPg,McDonald's,7051 South Blvd,Charlotte,NC,35.13813283,-80.87610865,1.5,5,Fast Food;,Fast Food;Restaurants;,,5:0-1:0,5:0-1:0,5:0-1:0,5:0-1:0,5:0-1:0,5:0-1:0,5:0-1:0
wtazPNyIbsRMHmrpEYbqZA,Golden Krust Caribbean Bakery & Grill,"440 E McCullough Dr, Ste 126",Charlotte,NC,35.302143,-80.7477477,3,38,Food;,Restaurants;,Caribbean;,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-22:0,10:0-22:0,11:30-18:30
b6ucK0IXd9L4pBYrysBNLg,Captain's Cap of Gastonia Number 1,3140 Linwood Rd,Charlotte,NC,35.2321928,-81.2359454,3,8,Seafood;,,,None,None,None,None,None,None,None
WtqzJcXEt5lc0hSeJ-bAJg,Bob Evans,16706 Northcross Dr,Charlotte,NC,35.44222026,-80.87355852,3,24,Salad;,Breakfast & Brunch;Restaurants;,American (Traditional);,7:0-21:0,6:0-21:0,6:0-21:0,6:0-21:0,6:0-21:0,6:0-21:0,6:0-21:0
om4t1hDJRQqTRS9VT7ADhA,Q Tavern,201 S McDowell St,Charlotte,NC,35.21892237,-80.83615344,3,27,,Restaurants;Southern;Gastropubs;Bars;,,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0
Ka3z0iudeviL2nEKZ4BeYg,Tijuana Flats,1608 E Blvd,Charlotte,NC,35.199187,-80.841455,4,50,Food;,Restaurants;,Mexican;,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0
3GGmY_QhqHnIEqk62p7cVA,Hwy 55 Burgers Shakes & Fries,4435 Hwy 49 S,Charlotte,NC,35.32191845,-80.6490469,3.5,42,Food;Fast Food;Cheesesteaks;Ice Cream & Frozen Yogurt;,Fast Food;Restaurants;Cheesesteaks;,American (Traditional);,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-22:0,11:0-22:0,11:0-21:0
2Ry7PhEAy7nDZyZCBYmJ2A,Wendy's,414 S Highway 27,Charlotte,NC,35.3551972,-81.0919395,2,8,Burgers;,Restaurants;,,None,None,None,None,None,None,None
HLiaFj_YNGhsdwZS3VmXfw,Cougar Run Winery,363 Church St N,Charlotte,NC,35.4197799,-80.5903042,3.5,11,Food;,,,None,12:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,13:0-17:0
8-ymYx-T2TGZ8n2p3ct-9w,Mecklenburg County Market,1515 Harding Pl,Charlotte,NC,35.2056115,-80.8378322,4.5,7,Food;,,,9:0-18:0,9:0-18:0,7:0-18:0,9:0-18:0,9:0-18:0,7:0-15:0,None
IDW4QFw-fN_wk81G9OV-Mg,Nothing But Noodles,1605 Elizabeth Ave,Charlotte,NC,35.213744,-80.8262381,4,75,Noodles;Fast Food;Salad;Food;Gluten-Free;Desserts;,Fast Food;,Asian Fusion;Chinese;American (Traditional);Italian;,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-21:0,11:0-21:0,11:0-14:0
Q_RpxG-YEMOk_yniWZfHCA,Bojangles' Famous Chicken 'n Biscuits,5525 E Independence Blvd,Charlotte,NC,35.184415,-80.7563629,3,3,Fast Food;Chicken Wings;,Fast Food;,,None,None,None,None,None,None,None
