business,name,address,city,state,latitude,longitude,stars,review_count,food_type,restaurant_type,country_type,mon,tue,wed,thu,fri,sat,sun
Pd52CjgyEU3Rb8co6QfTPw,Flight Deck Bar & Grill,6730 S Las Vegas Blvd,Las Vegas,NV,36.0669136,-115.1708484,4,13,Barbeque;,Bars;Barbeque;,American (New);,8:30-22:30,8:30-22:30,8:30-22:30,8:30-22:30,8:30-22:30,8:30-22:30,8:30-22:30
4srfPk1s8nlm1YusyDUbjg,Subway,"6889 S Eastern Ave, Ste 101",Las Vegas,NV,36.0646523,-115.1189541,2.5,6,Fast Food;,Fast Food;Restaurants;,,None,None,None,None,None,None,None
n7V4cD-KqqE3OXk0irJTyA,GameWorks,"6587 Las Vegas Blvd S, Ste 171",Las Vegas,NV,36.06825852,-115.1788768,3,349,,Gastropubs;Restaurants;,,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-1:0,11:0-1:0,11:0-0:0
MmR06_kNAbmOPK-0pKvGtA,Cinnabon,4300 Meadows Ln,Las Vegas,NV,36.1725319,-115.197258,4,3,Food;Coffee & Tea;,Coffee & Tea;,,None,None,None,None,None,None,None
F0fEKpTk7gAmuSFI0KW1eQ,Cafe Mastrioni,"4250 S Rainbow Blvd, Ste 1007",Las Vegas,NV,36.1110572,-115.2416881,1.5,3,,,Italian;,None,None,None,None,None,None,None
d2HSFutxpaYsCPglJPRe1Q,Winchell's Donut House,4700 Meadows Ln,Las Vegas,NV,36.17131272,-115.2053163,4,13,Food;,,,None,None,None,None,None,None,None
Wpt0sFHcPtV5MO9He7yMKQ,McDonald's,3020 E Desert Inn Rd,Las Vegas,NV,36.1300128,-115.10931,2,20,Fast Food;,Restaurants;Fast Food;,,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
W1Yr6c2XDx_RBjb6WsV-aQ,Divine Cafe at the Springs Preserve,333 S Valley View Blvd,Las Vegas,NV,36.1707065,-115.1902885,4,140,,Restaurants;Cafes;Bars;,American (New);,11:0-15:0,11:0-15:0,11:0-15:0,16:0-20:0,11:0-15:0,10:0-16:0,10:0-16:0
vzx1WdVivFsaN4QYrez2rw,Subway,5111 Boulder Hwy,Las Vegas,NV,36.1128952,-115.0623534,3,3,Sandwiches;,Restaurants;,,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0
aWnASLfWj1G6ptH4SR5RRA,Rocky Mountain Chocolate Factory,"9795 W Charleston Blvd, Ste 101",Las Vegas,NV,36.15848404,-115.3111854,2,3,Desserts;Specialty Food;,,,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-0:0,11:0-0:0,11:0-23:0
PJ-VbAtIOso1dqd2frQqqg,Donut Tyme,4268 E Charleston Blvd,Las Vegas,NV,36.15932754,-115.0821787,4.5,76,Donuts;,,,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
Uy3_5nLo3sYkAuSX6mjdmg,Geebee's Bar & Grill,8560 Las Vegas Blvd S,Las Vegas,NV,36.0342435,-115.1714093,4.5,33,,Restaurants;,,None,None,None,None,None,None,None
dPxZI9lrKTl5dvFfnb1_Ig,Trattoria Italia,"9905 S Eastern Ave, Ste 140",Las Vegas,NV,36.0100856,-115.1186563,4.5,210,Seafood;Pizza;,,Italian;,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-22:0,11:0-22:0,11:0-21:0
WfB_SsYeKy83QQsqAAyGVQ,Cancun Bar & Grill,"5006 S Maryland Pkwy, Ste 17",Las Vegas,NV,36.0986321,-115.1360793,4.5,5,,Bars;Restaurants;,Mexican;,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0
u29lf2yPd-qK5ThAS9FRQQ,Kinthai,4105 W Sahara Ave,Las Vegas,NV,36.1440231,-115.195896,4.5,61,,Restaurants;,,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0
ZzZjqBtd5PdwsyKetryDMA,Teavana,"3200 Las Vegas Blvd S, Ste 1795",Las Vegas,NV,36.1272241,-115.1715512,3.5,48,Coffee & Tea;,Coffee & Tea;,,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,11:0-19:0
KYEZATGRY5aD69ZR6VvyWQ,North Forty Saloon and BBQ,5990 Centennial Center Blvd,Las Vegas,NV,36.27183834,-115.2632794,3.5,31,Barbeque;,Restaurants;Barbeque;,,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,7:0-2:0,7:0-2:0
W8GVfGILy7an385lZSEvSw,Burger King,1736 Las Vegas Blvd S,Las Vegas,NV,36.150372,-115.153558,2,18,Burgers;,,,None,None,None,None,None,None,None
wRmPV-RvcqcjeyUeOaJQCg,The Bass Cafe Grill & Terrace,900 Karen Ave,Las Vegas,NV,36.1409252,-115.1428874,2.5,3,Food;Coffee & Tea;Salad;,Restaurants;Coffee & Tea;,American (Traditional);,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,11:0-22:0,11:0-22:0
1e2ZRUm9lpX3vrmraRx-yQ,Tacos Colima,,Las Vegas,NV,36.37992431,-114.8875063,4.5,3,Food;,,,None,None,None,None,None,None,None
EgGdnaotJpPvxCFyZPJeUw,Pizza Hut,4945 W. Craig Road,Las Vegas,NV,36.238059,-115.210341,2,13,,Restaurants;,,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-0:0,10:0-0:0,10:0-23:0
06_bDWrsZkj5l1u1OUZ4Vg,Cupz,8520 Blue Diamond Rd,Las Vegas,NV,36.020846,-115.277262,3.5,37,Food;Coffee & Tea;,Coffee & Tea;,,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0
AfL8Ds7ex73tfVbq3EFWKg,Baja Fresh,"8780 W Charleston Blvd, Ste 100",Las Vegas,NV,36.1594825,-115.2874508,5,6,,Restaurants;,,10:0-21:30,10:0-21:30,10:0-21:30,10:0-21:30,10:0-21:30,10:0-21:30,10:0-21:30
0Yeb_P24sj6MwG2qmuehkA,Till's Bar,344 E Desert Inn Rd,Las Vegas,NV,36.12994954,-115.161028,4.5,42,,Bars;,,None,16:0-23:0,16:0-23:0,15:0-0:0,15:0-0:0,15:0-0:0,10:0-16:0
